Напрям руху м'яча,1,1,2,2,3,3,4,4,5,5,6,6
Амплуа гравчині,Б,З,Б,З,Б,З,Б,З,Б,З,Б,З
Прийом м'ча знизу,5,1,0,0,1,4,2,2,1,11,4,3
Ефективність,4,0,0,0,0,1,2,2,1,7,3,2
помилка,0,0,0,0,0,0,0,0,0,0,1,0
Брак,1,1,0,0,1,3,0,0,0,4,0,1
Прийом м'яча після нападу знизу,0,1,0,0,0,0,0,0,0,0,0,0
Брак,0,1,0,0,0,0,0,0,0,0,0,0
Прийом м'яча з випадом знизу,0,0,0,1,1,2,1,2,2,2,2,1
Ефективність,0,0,0,0,1,1,0,0,0,2,0,0
помилка,0,0,0,1,0,0,0,0,0,0,0,0
Брак,0,0,0,0,0,1,1,2,2,0,2,1
Прийом для виконання нападу знизу,0,0,1,0,2,1,1,0,0,0,0,0
Ефективність,0,0,1,0,2,1,0,0,0,0,0,0
помилка,0,0,0,0,0,0,1,0,0,0,0,0
Прийом м'яча зверху,2,1,0,0,0,1,0,0,1,0,0,0
Ефективність,1,0,0,0,0,1,0,0,1,0,0,0
Брак,1,1,0,0,0,0,0,0,0,0,0,0
Прийом для виконання нападу зверху,0,0,0,0,1,1,0,0,0,0,0,0
Ефективність,0,0,0,0,1,1,0,0,0,0,0,0
