Напрям руху м'яча,1,1,2,2,3,3,4,4,5,5,6,6
Амплуа гравчині,Б,З,Б,З,Б,З,Б,З,Б,З,Б,З
Прийом м'ча знизу для виконання передачі,11,4,1,1,0,1,3,2,12,7,16,24
Ефективність,6,3,1,1,0,1,3,1,8,5,13,20
помилка,1,0,0,0,0,0,0,0,1,1,0,1
Брак,4,1,0,0,0,0,0,1,3,1,3,3
Прийом м'яча з випадом,2,0,0,0,1,1,0,0,5,2,1,5
Ефективність,2,0,0,0,0,0,0,0,3,2,1,3
помилка,0,0,0,0,0,0,0,0,1,0,0,0
Брак,0,0,0,0,1,1,0,0,1,0,0,2
Прийом м'яча в 'пірнанні',1,1,0,2,0,0,1,1,2,2,1,0
Ефективність,1,0,0,0,0,0,0,1,0,0,0,0
помилка,0,0,0,0,0,0,0,0,0,1,0,0
Брак,0,1,0,2,0,0,1,0,2,1,1,0
Прийом м'яча зверху для виконання передчі,1,0,0,0,0,0,0,0,0,0,2,0
Ефективність,1,0,0,0,0,0,0,0,0,0,1,0
Брак,0,0,0,0,0,0,0,0,0,0,1,0
Неускладнена,0,0,0,0,0,0,0,0,1,0,0,0
Ефективність,0,0,0,0,0,0,0,0,1,0,0,0
