Напрям руху м'яча,1,1,2,2,3,3,4,4,5,5,6,6
Амплуа гравчині,Б,З,Б,З,Б,З,Б,З,Б,З,Б,З
Прийом м'ча знизу для виконання передачі,2,1,0,0,0,0,1,0,3,25,4,6
Ефективність,1,1,0,0,0,0,1,0,2,23,3,5
помилка,1,0,0,0,0,0,0,0,1,0,1,1
Брак,0,0,0,0,0,0,0,0,0,2,0,0
Прийом м'яча з випадом,0,1,0,0,0,0,0,0,0,6,0,2
Ефективність,0,1,0,0,0,0,0,0,0,4,0,1
помилка,0,0,0,0,0,0,0,0,0,2,0,0
Брак,0,0,0,0,0,0,0,0,0,0,0,1
Прийом м'яча в 'пірнанні',0,0,0,0,0,0,0,1,0,3,1,0
Ефективність,0,0,0,0,0,0,0,1,0,3,0,0
Брак,0,0,0,0,0,0,0,0,0,0,1,0
Прийом зверху для виконання нападу,0,1,0,0,0,0,0,0,0,0,0,0
Ефективність,0,1,0,0,0,0,0,0,0,0,0,0
