Напрям руху м'яча,1,1,2,2,3,3,4,4,5,5,6,6
Амплуа гравчині,Б,З,Б,З,Б,З,Б,З,Б,З,Б,З
Прийом м'ча знизу для виконання передачі,13,25,3,1,3,6,4,1,8,3,21,28
Ефективність,11,23,2,1,3,3,4,1,8,2,17,23
помилка,1,0,1,0,0,3,0,0,0,1,1,2
Брак,1,2,0,0,0,0,0,0,0,0,3,3
Прийом м'яча з випадом,4,4,0,0,4,5,0,1,1,3,4,3
Ефективність,1,1,0,0,1,3,0,1,1,1,2,1
помилка,2,1,0,0,2,1,0,0,0,2,1,0
Брак,1,2,0,0,1,1,0,0,0,0,1,2
Прийом м'яча в 'пірнанні',1,1,0,0,2,0,0,0,0,1,0,0
Ефективність,1,0,0,0,1,0,0,0,0,0,0,0
Брак,0,1,0,0,1,0,0,0,0,1,0,0
Прийом м'яча зверху для виконання передчі,0,0,0,0,0,0,0,0,0,1,0,0
Брак,0,0,0,0,0,0,0,0,0,1,0,0
Прийом 'Томагавк',0,0,0,0,0,0,0,0,0,0,1,0
Брак,0,0,0,0,0,0,0,0,0,0,1,0
Прийом зверху для виконання нападу,1,0,0,0,0,0,0,0,0,0,0,1
Ефективність,1,0,0,0,0,0,0,0,0,0,0,1
