Напрям руху м'яча,1,1,2,2,3,3,4,4,5,5,6,6
Амплуа гравчині,Б,З,Б,З,Б,З,Б,З,Б,З,Б,З
Прийом м'ча знизу,7,5,2,5,13,6,3,0,3,0,8,8
Ефективність,7,4,2,5,13,6,3,0,2,0,6,5
помилка,0,0,0,0,0,0,0,0,1,0,1,1
Брак,0,1,0,0,0,0,0,0,0,0,1,2
Прийом м'яча після нападу знизу,1,9,0,2,2,2,4,0,13,2,1,11
Ефективність,1,9,0,2,2,1,4,0,11,2,1,10
помилка,0,0,0,0,0,1,0,0,1,0,0,1
Брак,0,0,0,0,0,0,0,0,1,0,0,0
Прийом м'яча з випадом знизу,1,8,0,1,2,5,3,0,4,1,5,2
Ефективність,1,5,0,1,2,1,3,0,4,1,1,0
помилка,0,2,0,0,0,1,0,0,0,0,2,1
Брак,0,1,0,0,0,3,0,0,0,0,2,1
Прийом для виконання нападу знизу,0,0,4,5,7,5,3,2,2,0,3,2
Ефективність,0,0,4,5,7,4,3,2,2,0,3,2
Брак,0,0,0,0,0,1,0,0,0,0,0,0
Прийом м'яча зверху,0,0,0,0,0,2,0,0,0,1,1,1
Ефективність,0,0,0,0,0,1,0,0,0,1,1,1
Брак,0,0,0,0,0,1,0,0,0,0,0,0
Прийом 'Томагавк' зверху,0,0,0,0,1,0,0,0,0,0,3,0
Ефективність,0,0,0,0,0,0,0,0,0,0,1,0
Брак,0,0,0,0,1,0,0,0,0,0,1,0
Прийом для виконання нападу зверху,0,0,0,1,0,0,0,0,0,0,0,0
Ефективність,0,0,0,1,0,0,0,0,0,0,0,0
Неускладнена,1,0,0,0,0,0,0,0,0,0,0,0
Брак,1,0,0,0,0,0,0,0,0,0,0,0
