Напрям руху м'яча,1-5,1-5,1-6,1-6,1-1,1-1,6-5,6-5,6-6,6-6,6-1,6-1,5-5,5-5,5-6,5-6,5-1,5-1
Амплуа гравчині,Б,З,Б,З,Б,З,Б,З,Б,З,Б,З,Б,З,Б,З,Б,З
Силова з місця,1,1,2,4,4,2,2,2,5,4,4,6,0,0,0,0,3,0
Ефективність,1,1,1,4,3,2,2,1,1,1,2,6,0,0,0,0,3,0
Брак,0,0,1,0,1,0,0,0,2,1,1,0,0,0,0,0,0,0
Вигране очко,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0
Націлена з місця,1,0,3,2,1,0,2,5,5,7,4,1,1,0,1,0,3,0
Ефективність,0,0,2,1,1,0,1,3,5,4,1,1,1,0,1,0,1,0
Брак,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
Вигране очко,1,0,1,1,0,0,0,2,0,2,2,0,0,0,0,0,2,0
Пряма з місця,0,0,5,1,6,3,3,2,7,4,4,5,0,0,1,0,0,1
Ефективність,0,0,5,1,6,3,3,2,6,4,2,5,0,0,0,0,0,1
Брак,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Вигране очко,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0
Силова у стрибку,1,2,7,4,6,2,0,2,0,5,0,0,2,0,0,0,0,0
Ефективність,1,1,6,3,2,1,0,2,0,3,0,0,1,0,0,0,0,0
Брак,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Вигране очко,0,0,1,1,2,0,0,0,0,2,0,0,1,0,0,0,0,0
Плануюча у стрибку,0,4,9,3,5,6,1,3,1,2,1,3,0,0,1,0,0,1
Ефективність,0,2,7,3,3,5,0,1,1,1,1,0,0,0,1,0,0,1
Брак,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Вигране очко,0,2,2,0,1,1,0,2,0,1,0,3,0,0,0,0,0,0
Націлена у стрибку,0,0,7,3,1,5,0,0,0,3,0,0,0,0,0,2,0,0
Ефективність,0,0,4,2,1,4,0,0,0,1,0,0,0,0,0,2,0,0
Брак,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Вигране очко,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
Коротка з топспіном,0,0,1,1,1,0,0,0,3,3,0,0,2,1,0,0,0,0
Ефективність,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Брак,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Вигране очко,0,0,1,0,1,0,0,0,1,2,0,0,2,0,0,0,0,0
Довга з топспіном,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Ефективність,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Брак,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Вигране очко,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
